SPID,hour,visit_count
15880,10,77
15880,11,42
15880,12,48
15880,13,35
15880,14,31
15880,15,21
15880,16,17
15880,17,16
15880,18,16
15880,19,5
15880,20,2
15880,21,1
15900,7,5
15900,8,31
15900,9,212
15900,10,180
15900,11,189
15900,12,147
15900,13,109
15900,14,112
15900,15,130
15900,16,131
15900,17,130
15900,18,37
15900,19,19
15900,20,9
15900,21,2
15900,22,2
15930,7,5
15930,8,71
15930,9,207
15930,10,199
15930,11,163
15930,12,112
15930,13,98
15930,14,118
15930,15,122
15930,16,99
15930,17,96
15930,18,32
15930,19,15
15930,20,9
15930,21,1
15930,22,2
15977,6,11
15977,7,371
15977,8,112
15977,9,253
15977,10,148
15977,11,118
15977,12,106
15977,13,137
15977,14,166
15977,15,152
15977,16,89
15977,17,79
15977,18,29
15977,19,8
15977,20,4
15977,21,4
16017,5,2
16017,6,213
16017,7,86
16017,8,43
16017,9,17
16017,10,12
16017,11,8
16017,12,4
16017,13,13
16017,14,6
16017,15,9
16017,16,5
16017,17,4
16017,18,4
16017,19,5
16017,20,1
16017,21,1
16059,7,25
16059,8,51
16059,9,52
16059,10,162
16059,11,234
16059,12,161
16059,13,152
16059,14,140
16059,15,177
16059,16,213
16059,17,192
16059,18,135
16059,19,62
16059,20,39
16059,21,10
16059,22,1
16070,7,79
16070,8,246
16070,9,219
16070,10,208
16070,11,108
16070,12,94
16070,13,138
16070,14,206
16070,15,192
16070,16,169
16070,17,113
16070,18,36
16070,19,16
16070,20,4
16070,21,1
16084,6,4
16084,7,39
16084,8,183
16084,9,191
16084,10,143
16084,11,82
16084,12,75
16084,13,79
16084,14,82
16084,15,54
16084,16,39
16084,17,51
16084,18,26
16084,19,13
16084,20,6
16084,21,1
16105,6,6
16105,7,8
16105,8,7
16105,9,22
16105,10,29
16105,11,29
16105,12,31
16105,13,24
16105,14,22
16105,15,39
16105,16,39
16105,17,20
16105,18,10
16105,19,7
16105,20,2
16105,21,1
16106,6,9
16106,7,92
16106,8,142
16106,9,141
16106,10,142
16106,11,83
16106,12,66
16106,13,76
16106,14,56
16106,15,45
16106,16,30
16106,17,35
16106,18,21
16106,19,6
16106,20,6
16106,21,3
16131,6,1
16131,7,38
16131,8,126
16131,9,187
16131,10,143
16131,11,115
16131,12,84
16131,13,114
16131,14,81
16131,15,61
16131,16,58
16131,17,47
16131,18,38
16131,19,28
16131,20,9
16131,21,5
16133,6,2
16133,7,43
16133,8,117
16133,9,134
16133,10,100
16133,11,56
16133,12,51
16133,13,73
16133,14,64
16133,15,35
16133,16,39
16133,17,25
16133,18,21
16133,19,8
16133,20,6
16133,21,2
16134,6,3
16134,7,45
16134,8,53
16134,9,80
16134,10,64
16134,11,46
16134,12,32
16134,13,23
16134,14,14
16134,15,15
16134,16,18
16134,17,8
16134,18,9
16134,19,1
16134,21,1
16135,6,218
16135,7,131
16135,8,47
16135,9,34
16135,10,10
16135,11,13
16135,12,10
16135,13,5
16135,14,15
16135,15,5
16135,16,2
16135,17,7
16135,18,4
16136,6,2
16136,7,45
16136,8,36
16136,9,88
16136,10,57
16136,11,45
16136,12,33
16136,13,48
16136,14,44
16136,15,31
16136,16,31
16136,17,12
16136,18,5
16136,19,4
16136,20,6
16136,21,1
16158,6,35
16158,7,97
16158,8,128
16158,9,153
16158,10,155
16158,11,83
16158,12,79
16158,13,73
16158,14,74
16158,15,50
16158,16,46
16158,17,48
16158,18,43
16158,19,7
16158,20,10
16158,21,3
16159,6,2
16159,7,12
16159,8,46
16159,9,73
16159,10,35
16159,11,22
16159,12,22
16159,13,19
16159,14,15
16159,15,8
16159,16,6
16159,17,4
16159,18,5
16159,19,4
16159,20,2
16160,6,77
16160,7,148
16160,8,39
16160,9,27
16160,10,9
16160,11,5
16160,12,8
16160,13,5
16160,14,7
16160,15,3
16160,16,3
16160,17,4
16160,18,6
16160,19,4
16161,5,1
16161,6,22
16161,7,80
16161,8,82
16161,9,87
16161,10,56
16161,11,46
16161,12,34
16161,13,29
16161,14,21
16161,15,31
16161,16,14
16161,17,9
16161,18,7
16161,19,4
16161,21,2
16162,6,2
16162,7,16
16162,8,89
16162,9,153
16162,10,166
16162,11,120
16162,12,107
16162,13,120
16162,14,75
16162,15,85
16162,16,88
16162,17,84
16162,18,66
16162,19,37
16162,20,19
16162,21,5
16163,6,9
16163,7,23
16163,8,59
16163,9,58
16163,10,75
16163,11,38
16163,12,44
16163,13,39
16163,14,45
16163,15,42
16163,16,45
16163,17,31
16163,18,15
16163,19,3
16163,20,2
16163,21,1
16164,7,66
16164,8,131
16164,9,118
16164,10,73
16164,11,58
16164,12,30
16164,13,54
16164,14,43
16164,15,36
16164,16,25
16164,17,17
16164,18,6
16164,19,12
16164,20,4
16164,21,1
16165,6,21
16165,7,50
16165,8,68
16165,9,93
16165,10,92
16165,11,47
16165,12,65
16165,13,56
16165,14,70
16165,15,50
16165,16,52
16165,17,40
16165,18,35
16165,19,12
16165,20,11
16165,21,2
16166,6,2
16166,7,5
16166,8,21
16166,9,7
16166,10,13
16166,11,1
16166,13,1
16166,14,3
16166,15,2
16166,16,6
16166,18,2
16166,19,1
16168,5,1
16168,6,31
16168,7,41
16168,8,57
16168,9,53
16168,10,69
16168,11,41
16168,12,56
16168,13,49
16168,14,49
16168,15,45
16168,16,42
16168,17,22
16168,18,17
16168,19,9
16168,20,6
16168,21,2
16169,6,15
16169,7,63
16169,8,80
16169,9,89
16169,10,76
16169,11,47
16169,12,26
16169,13,25
16169,14,13
16169,15,23
16169,16,16
16169,17,11
16169,18,7
16169,19,1
16169,21,1
16170,6,19
16170,7,86
16170,8,157
16170,9,185
16170,10,154
16170,11,95
16170,12,97
16170,13,97
16170,14,93
16170,15,63
16170,16,65
16170,17,58
16170,18,31
16170,19,19
16170,20,8
16170,21,1
16171,6,99
16171,7,85
16171,8,24
16171,9,16
16171,10,9
16171,11,12
16171,12,8
16171,13,3
16171,14,13
16171,15,10
16171,16,4
16171,17,6
16171,18,3
16171,20,1
16190,6,2
16190,7,66
16190,8,90
16190,9,142
16190,10,218
16190,11,211
16190,12,173
16190,13,136
16190,14,175
16190,15,224
16190,16,232
16190,17,175
16190,18,111
16190,19,48
16190,20,21
16190,21,1
16190,22,2
16192,6,3
16192,7,36
16192,8,50
16192,9,88
16192,10,223
16192,11,231
16192,12,165
16192,13,132
16192,14,161
16192,15,211
16192,16,237
16192,17,205
16192,18,133
16192,19,69
16192,20,27
16192,21,6
16193,10,1
16193,14,1
16254,6,23
16254,7,87
16254,8,88
16254,9,78
16254,10,60
16254,11,38
16254,12,37
16254,13,30
16254,14,27
16254,15,28
16254,16,14
16254,17,8
16254,18,2
16254,19,3
16254,20,1
16254,21,3
16273,7,79
16273,8,221
16273,9,204
16273,10,185
16273,11,99
16273,12,63
16273,13,81
16273,14,85
16273,15,86
16273,16,76
16273,17,49
16273,18,20
16273,19,8
16273,20,2
16273,21,1
16299,7,14
16299,8,39
16299,9,47
16299,10,149
16299,11,200
16299,12,175
16299,13,150
16299,14,125
16299,15,167
16299,16,182
16299,17,174
16299,18,120
16299,19,57
16299,20,38
16299,21,5
16299,22,2
16351,5,1
16351,6,133
16351,7,87
16351,8,112
16351,9,90
16351,10,121
16351,11,85
16351,12,90
16351,13,86
16351,14,89
16351,15,85
16351,16,76
16351,17,63
16351,18,45
16351,19,25
16351,20,15
16351,21,1
16351,22,1
16352,6,5
16352,7,39
16352,8,137
16352,9,130
16352,10,89
16352,11,42
16352,12,43
16352,13,47
16352,14,50
16352,15,33
16352,16,27
16352,17,23
16352,18,18
16352,19,3
16352,20,4
16352,21,1
16371,6,45
16371,7,202
